id,price_range
1,2
2,2
3,2
4,2
5,1
6,3
7,3
8,0
9,2
10,0
11,3
12,3
13,0
14,0
15,2
16,0
17,1
18,0
19,2
20,1
21,0
22,2
23,1
24,1
25,3
26,0
27,2
28,0
29,2
30,0
31,2
32,0
33,2
34,0
35,0
36,0
37,2
38,1
39,2
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,2
49,0
50,2
51,1
52,0
53,2
54,0
55,3
56,0
57,2
58,1
59,0
60,2
61,3
62,2
63,0
64,1
65,0
66,0
67,1
68,2
69,1
70,1
71,1
72,2
73,2
74,3
75,3
76,0
77,2
78,0
79,1
80,3
81,0
82,2
83,3
84,0
85,3
86,0
87,2
88,0
89,2
90,0
91,1
92,1
93,2
94,0
95,1
96,1
97,0
98,1
99,1
100,2
101,0
102,0
103,0
104,2
105,0
106,2
107,0
108,1
109,2
110,2
111,2
112,2
113,1
114,2
115,2
116,3
117,3
118,1
119,2
120,0
121,0
122,2
123,1
124,1
125,1
126,0
127,3
128,2
129,2
130,1
131,0
132,1
133,1
134,0
135,2
136,0
137,1
138,0
139,3
140,2
141,1
142,2
143,1
144,2
145,2
146,3
147,2
148,2
149,1
150,3
151,2
152,3
153,0
154,0
155,2
156,1
157,3
158,3
159,3
160,2
161,2
162,2
163,3
164,2
165,2
166,2
167,0
168,0
169,2
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,0
178,0
179,0
180,2
181,0
182,0
183,0
184,0
185,1
186,2
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,3
195,1
196,0
197,2
198,1
199,2
200,2
201,1
202,1
203,2
204,2
205,2
206,1
207,1
208,0
209,0
210,0
211,1
212,2
213,0
214,2
215,2
216,2
217,0
218,2
219,0
220,2
221,1
222,2
223,2
224,0
225,0
226,1
227,0
228,2
229,0
230,1
231,0
232,2
233,1
234,0
235,2
236,0
237,2
238,0
239,3
240,0
241,2
242,0
243,0
244,2
245,0
246,2
247,2
248,2
249,1
250,1
251,2
252,0
253,0
254,2
255,3
256,2
257,1
258,3
259,1
260,0
261,2
262,2
263,0
264,2
265,2
266,3
267,3
268,1
